date,cusip,issuer,sector,bond_spread_bps,cds_spread_bps,basis_bps
2025-10-01,12345A100,CloudSoft Inc,Software,445.0,445.0,-20.0
2025-10-02,12345A100,CloudSoft Inc,Software,446.98,471.45,-24.48
2025-10-03,12345A100,CloudSoft Inc,Software,453.57,481.09,-27.51
2025-10-06,12345A100,CloudSoft Inc,Software,462.89,495.59,-32.69
2025-10-07,12345A100,CloudSoft Inc,Software,460.53,493.98,-33.45
2025-10-08,12345A100,CloudSoft Inc,Software,457.01,488.74,-31.73
2025-10-09,12345A100,CloudSoft Inc,Software,466.84,494.9,-28.06
2025-10-10,12345A100,CloudSoft Inc,Software,476.43,504.38,-27.95
2025-10-13,12345A100,CloudSoft Inc,Software,474.46,498.42,-23.96
2025-10-14,12345A100,CloudSoft Inc,Software,475.76,503.25,-27.49
2025-10-15,12345A100,CloudSoft Inc,Software,476.12,507.95,-31.83
2025-10-16,12345A100,CloudSoft Inc,Software,473.98,506.02,-32.05
2025-10-17,12345A100,CloudSoft Inc,Software,479.34,510.5,-31.17
2025-10-20,12345A100,CloudSoft Inc,Software,467.55,498.88,-31.33
2025-10-21,12345A100,CloudSoft Inc,Software,451.24,487.82,-36.58
2025-10-22,12345A100,CloudSoft Inc,Software,445.09,481.97,-36.88
2025-10-23,12345A100,CloudSoft Inc,Software,441.12,481.35,-40.22
2025-10-24,12345A100,CloudSoft Inc,Software,446.67,485.3,-38.63
2025-10-27,12345A100,CloudSoft Inc,Software,440.24,478.03,-37.79
2025-10-28,12345A100,CloudSoft Inc,Software,430.68,470.9,-40.22
2025-10-29,12345A100,CloudSoft Inc,Software,447.89,489.48,-41.59
2025-10-30,12345A100,CloudSoft Inc,Software,444.21,488.52,-44.31
2025-10-31,12345A100,CloudSoft Inc,Software,447.58,492.13,-44.55
2025-11-03,12345A100,CloudSoft Inc,Software,436.47,478.71,-42.24
2025-11-04,12345A100,CloudSoft Inc,Software,432.12,476.9,-44.79
2025-11-05,12345A100,CloudSoft Inc,Software,438.31,481.92,-43.61
2025-11-06,12345A100,CloudSoft Inc,Software,433.73,478.74,-45.01
2025-11-07,12345A100,CloudSoft Inc,Software,440.7,487.78,-47.07
2025-11-10,12345A100,CloudSoft Inc,Software,442.26,489.68,-47.42
2025-11-11,12345A100,CloudSoft Inc,Software,440.74,490.83,-50.09
2025-11-12,12345A100,CloudSoft Inc,Software,439.66,491.22,-51.55
2025-11-13,12345A100,CloudSoft Inc,Software,452.99,507.62,-54.63
2025-11-14,12345A100,CloudSoft Inc,Software,454.68,504.48,-49.8
2025-11-17,12345A100,CloudSoft Inc,Software,446.55,496.34,-49.79
2025-11-18,12345A100,CloudSoft Inc,Software,453.7,505.32,-51.62
2025-11-19,12345A100,CloudSoft Inc,Software,447.39,498.55,-51.16
2025-11-20,12345A100,CloudSoft Inc,Software,446.04,497.57,-51.52
2025-11-21,12345A100,CloudSoft Inc,Software,440.55,492.71,-52.16
2025-11-24,12345A100,CloudSoft Inc,Software,426.9,477.6,-50.7
2025-11-25,12345A100,CloudSoft Inc,Software,424.11,473.0,-48.89
2025-11-26,12345A100,CloudSoft Inc,Software,435.42,485.72,-50.29
2025-11-27,12345A100,CloudSoft Inc,Software,440.74,492.55,-51.81
2025-11-28,12345A100,CloudSoft Inc,Software,443.1,495.68,-52.58
2025-12-01,12345A100,CloudSoft Inc,Software,444.04,502.45,-58.42
2025-12-02,12345A100,CloudSoft Inc,Software,433.37,495.66,-62.28
2025-12-03,12345A100,CloudSoft Inc,Software,424.89,483.83,-58.95
2025-12-04,12345A100,CloudSoft Inc,Software,422.58,477.49,-54.91
2025-12-05,12345A100,CloudSoft Inc,Software,428.61,484.23,-55.62
2025-12-08,12345A100,CloudSoft Inc,Software,436.1,490.35,-54.26
2025-12-09,12345A100,CloudSoft Inc,Software,422.84,476.39,-53.56
2025-12-10,12345A100,CloudSoft Inc,Software,422.7,468.64,-45.94
2025-12-11,12345A100,CloudSoft Inc,Software,419.33,462.55,-43.22
2025-12-12,12345A100,CloudSoft Inc,Software,416.88,460.5,-43.62
2025-12-15,12345A100,CloudSoft Inc,Software,420.11,466.2,-46.09
2025-12-16,12345A100,CloudSoft Inc,Software,425.37,475.56,-50.19
2025-12-17,12345A100,CloudSoft Inc,Software,434.28,484.04,-49.76
2025-12-18,12345A100,CloudSoft Inc,Software,429.67,481.4,-51.73
2025-12-19,12345A100,CloudSoft Inc,Software,425.99,481.35,-55.36
2025-12-22,12345A100,CloudSoft Inc,Software,427.35,484.41,-57.06
2025-12-23,12345A100,CloudSoft Inc,Software,436.51,496.36,-59.84
2025-12-24,12345A100,CloudSoft Inc,Software,427.49,483.19,-55.71
2025-12-25,12345A100,CloudSoft Inc,Software,420.98,474.57,-53.58
2025-12-26,12345A100,CloudSoft Inc,Software,410.51,464.19,-53.68
2025-12-29,12345A100,CloudSoft Inc,Software,401.64,451.7,-50.06
2025-12-30,12345A100,CloudSoft Inc,Software,410.29,460.24,-49.95
2025-12-31,12345A100,CloudSoft Inc,Software,427.81,479.99,-52.18
2026-01-01,12345A100,CloudSoft Inc,Software,431.67,480.13,-48.45
2026-01-02,12345A100,CloudSoft Inc,Software,439.34,486.53,-47.19
2026-01-05,12345A100,CloudSoft Inc,Software,442.63,492.49,-49.86
2026-01-06,12345A100,CloudSoft Inc,Software,434.13,484.54,-50.42
2026-01-07,12345A100,CloudSoft Inc,Software,437.49,490.18,-52.68
2026-01-08,12345A100,CloudSoft Inc,Software,448.57,504.79,-56.22
2026-01-09,12345A100,CloudSoft Inc,Software,450.15,504.14,-53.99
2026-01-12,12345A100,CloudSoft Inc,Software,458.98,508.27,-49.29
2026-01-13,12345A100,CloudSoft Inc,Software,441.7,494.56,-52.87
2026-01-14,12345A100,CloudSoft Inc,Software,454.95,506.49,-51.54
2026-01-15,12345A100,CloudSoft Inc,Software,455.55,508.8,-53.25
2026-01-16,12345A100,CloudSoft Inc,Software,455.37,509.91,-54.55
2026-01-19,12345A100,CloudSoft Inc,Software,459.35,515.46,-56.11
2026-01-20,12345A100,CloudSoft Inc,Software,442.98,501.32,-58.35
2026-01-21,12345A100,CloudSoft Inc,Software,442.84,501.14,-58.31
2026-01-22,12345A100,CloudSoft Inc,Software,446.17,506.64,-60.46
2026-01-23,12345A100,CloudSoft Inc,Software,458.29,518.16,-59.87
2026-01-26,12345A100,CloudSoft Inc,Software,451.47,511.55,-60.07
2026-01-27,12345A100,CloudSoft Inc,Software,445.92,506.67,-60.75
2026-01-28,12345A100,CloudSoft Inc,Software,444.75,507.85,-63.1
2026-01-29,12345A100,CloudSoft Inc,Software,458.32,522.94,-64.62
2026-01-30,12345A100,CloudSoft Inc,Software,465.19,528.0,-62.81
2026-02-02,12345A100,CloudSoft Inc,Software,470.47,532.11,-61.64
2026-02-03,12345A100,CloudSoft Inc,Software,471.3,535.46,-64.16
2026-02-04,12345A100,CloudSoft Inc,Software,475.85,539.85,-64.0
2026-02-05,12345A100,CloudSoft Inc,Software,484.03,546.23,-62.2
2026-02-06,12345A100,CloudSoft Inc,Software,487.88,554.34,-66.45
2026-02-09,12345A100,CloudSoft Inc,Software,481.92,547.09,-65.17
2026-02-10,12345A100,CloudSoft Inc,Software,475.42,542.33,-66.91
2026-02-11,12345A100,CloudSoft Inc,Software,461.94,527.5,-65.56
2026-02-12,12345A100,CloudSoft Inc,Software,455.55,523.1,-67.55
2026-02-13,12345A100,CloudSoft Inc,Software,455.71,527.85,-72.14
2026-02-16,12345A100,CloudSoft Inc,Software,452.95,529.24,-76.29
2026-02-17,12345A100,CloudSoft Inc,Software,452.24,528.49,-76.25
2026-02-18,12345A100,CloudSoft Inc,Software,443.41,519.1,-75.68
2026-02-19,12345A100,CloudSoft Inc,Software,448.69,526.71,-78.02
2026-02-20,12345A100,CloudSoft Inc,Software,450.58,527.09,-76.51
2026-02-23,12345A100,CloudSoft Inc,Software,442.56,523.3,-80.74
2026-02-24,12345A100,CloudSoft Inc,Software,438.15,519.14,-80.99
2026-02-25,12345A100,CloudSoft Inc,Software,443.93,528.02,-84.09
2026-02-26,12345A100,CloudSoft Inc,Software,453.21,539.01,-85.8
2026-02-27,12345A100,CloudSoft Inc,Software,462.65,548.41,-85.76
2026-03-02,12345A100,CloudSoft Inc,Software,469.83,557.83,-87.99
2026-03-03,12345A100,CloudSoft Inc,Software,467.48,556.51,-89.04
2026-03-04,12345A100,CloudSoft Inc,Software,445.99,532.59,-86.6
2026-03-05,12345A100,CloudSoft Inc,Software,452.01,540.13,-88.12
